A2,A2-EA,EA,INT_CUT,INT_CUT-A2,INT_CUT-EA,INT_CUT-LAND_CLEAR,INT_CUT-UA,LAND_CLEAR,NO_ACT,UA,UA-EA-INT_CUT
0,27865.692539798023,1402.7760661516843,119.10974945395621,32493.433412542963,3140.5734615332035,48855.33775225124,5273.725808839806,19533.590404991868,1.495002921382326,3136.783227868881,65028.80757521366
19498.50041886071,0,1204.1350562939917,127.00497431116008,32497.22040136682,3147.844032095317,48805.85250526394,5275.343656230736,19553.09088342149,1.3800488780326319,3482.433671603121,65028.69262117031
19246.497195664157,27866.44185840305,0,125.15372551845736,32496.45120816825,3146.9889808166918,48506.38906767882,5274.928501658127,19429.83939752964,1.3613124175599294,3456.226714450506,65028.67388470984
19514.802412383964,27848.49954249522,1376.2116224892263,0,32449.982331745632,3118.768359672022,48848.58435713104,5247.80582066325,19501.698279410528,1.2990297286684964,3462.4994953482214,65028.611602020945
19545.24066479537,27870.023256641045,1410.1467543137433,152.37621893193264,0,3153.430176835701,48856.79882240754,5280.534254258754,19587.61970140205,0.9999999999999997,3491.261898284624,65028.31257229228
19502.326946463723,27866.14410448014,1378.895421318626,123.10286754114331,31971.31552755555,0,48849.29452554569,5274.480631853772,19248.168318058502,1.3559299767821769,3428.663634710334,65028.668502269065
19545.24066479537,27870.023256641045,1410.1467543137433,152.37621893193264,32506.421853930777,3153.430176835701,0,5280.534254258754,19587.61970140205,0.9999999999999997,3491.261898284624,65028.31257229228
19529.237259572525,27864.40653935196,1363.160319920259,110.75501129050558,32491.195749400667,3144.1853290612203,48845.40546004284,0,19560.4306602186,1.38788134335797,3482.838676306296,65028.70045363564
17543.37929995587,27857.11781664545,1248.8339309714527,55.70159128362785,32471.062231904656,3131.503295405343,48817.48306075314,5260.455774299495,0,2.0650493710953235,3435.8530710977966,65029.37762166337
19544.24066479537,27869.023256641045,1409.1467543137433,151.37621893193264,32505.421853930773,3152.430176835701,48855.79882240754,5279.534254258754,19586.61970140205,0,3490.2618982846243,65027.312572292285
19503.01573872936,27865.763516502466,1400.310136342188,120.46396201603349,32485.416484422953,3090.186658138084,48854.61705139758,5273.906667260277,19215.16958128326,1.3519697564862667,0,65028.66454204878
19545.24066479537,27870.023256641045,1410.1467543137433,152.37621893193264,32506.421853930777,3153.430176835701,48856.79882240754,5280.534254258754,19587.61970140205,0.9999999999999997,3491.261898284624,0
