NEPA_PROJECT,GEN_ACTIVITY,DATE_COMP,ACRES,SEQ_DAYS,SEQ_INT,GEN_ACT2
CE without DM,INT_CUT,2017-03-15,62.0,532 days 00:00:00.000000000,532,INT_CUT
CE without DM,EA,2017-08-01,404.0,139 days 00:00:00.000000000,139,EA
(PALS)DECISION_NOTICE-SUBLETT FUELS AND VEGETATION PROJECT-30_SEPTEMBER_2011,INT_CUT,2016-07-06,30.0,0 days 00:00:00.000000000,0,INT_CUT
(PALS)DECISION_NOTICE-SUBLETT FUELS AND VEGETATION PROJECT-30_SEPTEMBER_2011,INT_CUT,2016-07-22,20.0,16 days 00:00:00.000000000,16,INT_CUT
(PALS)DECISION_NOTICE-SUBLETT FUELS AND VEGETATION PROJECT-30_SEPTEMBER_2011,INT_CUT,2016-10-21,15.0,91 days 00:00:00.000000000,91,INT_CUT
(PALS)DECISION_NOTICE-SUBLETT FUELS AND VEGETATION PROJECT-30_SEPTEMBER_2011,INT_CUT,2016-11-17,11.0,27 days 00:00:00.000000000,27,INT_CUT
(PALS)DECISION_NOTICE-SUBLETT FUELS AND VEGETATION PROJECT-30_SEPTEMBER_2011,INT_CUT,2018-06-18,15.0,578 days 00:00:00.000000000,578,INT_CUT
(PALS)DECISION_NOTICE-SUBLETT FUELS AND VEGETATION PROJECT-30_SEPTEMBER_2011,INT_CUT,2018-10-13,18.0,117 days 00:00:00.000000000,117,INT_CUT
(PALS)DECISION_NOTICE-SUBLETT FUELS AND VEGETATION PROJECT-30_SEPTEMBER_2011,INT_CUT,2018-11-26,103.0,44 days 00:00:00.000000000,44,INT_CUT
(PALS)DECISION_NOTICE-SUBLETT FUELS AND VEGETATION PROJECT-30_SEPTEMBER_2011,INT_CUT,2019-10-30,27.0,338 days 00:00:00.000000000,338,INT_CUT
(PALS)ROCK CREEK RESOURCE MANAGEMENT PROJECT,INT_CUT,2012-11-07,64.0,0 days 00:00:00.000000000,0,INT_CUT
(PALS)ROCK CREEK RESOURCE MANAGEMENT PROJECT,INT_CUT,2013-08-15,201.0,281 days 00:00:00.000000000,281,INT_CUT
(PALS)TRINITY RIDGE FIRE ROADSIDE SALVAGE PROJECT DECISION MEMO,INT_CUT,2013-08-16,28.0,0 days 00:00:00.000000000,0,INT_CUT
(PALS)TRINITY RIDGE FIRE ROADSIDE SALVAGE PROJECT DECISION MEMO,INT_CUT,2013-09-04,9.0,19 days 00:00:00.000000000,19,INT_CUT
(PALS)TRINITY RIDGE FIRE ROADSIDE SALVAGE PROJECT DECISION MEMO,INT_CUT,2013-09-16,9.0,12 days 00:00:00.000000000,12,INT_CUT
(PALS)TRINITY RIDGE FIRE ROADSIDE SALVAGE PROJECT DECISION MEMO,INT_CUT,2013-09-23,13.0,7 days 00:00:00.000000000,7,INT_CUT
(PALS)TRINITY RIDGE FIRE ROADSIDE SALVAGE PROJECT DECISION MEMO,INT_CUT,2015-11-01,104.0,769 days 00:00:00.000000000,769,INT_CUT
(PALS)HALL FIRE TIMBER SALVAGE,EA,2003-12-30,24.0,0 days 00:00:00.000000000,0,EA
(PALS)HALL FIRE TIMBER SALVAGE,EA,2004-02-01,120.0,33 days 00:00:00.000000000,33,EA
(PALS)HALL FIRE TIMBER SALVAGE,EA,2004-04-01,24.0,60 days 00:00:00.000000000,60,EA
(PALS)HALL FIRE TIMBER SALVAGE,EA,2004-05-30,19.0,59 days 00:00:00.000000000,59,EA
DEFAULT FOR NOT REQUIRED,EA,2000-04-02,25.0,0 days 00:00:00.000000000,0,EA
DEFAULT FOR NOT REQUIRED,EA,2000-05-05,106.0,33 days 00:00:00.000000000,33,EA
DEFAULT FOR NOT REQUIRED,EA,2000-05-09,49.0,4 days 00:00:00.000000000,4,EA
