NEPA_PROJECT,GEN_ACTIVITY,DATE_COMP,ACRES,SEQ_DAYS,SEQ_ACTIVITY,int
(PALS)SCRIVER CREEK INTEGRATED RESTORATION PROJECT,INT_CUT,2014-11-17,226.0,0 days 00:00:00.000000000,INT_CUT initial,0
(PALS)SCRIVER CREEK INTEGRATED RESTORATION PROJECT,INT_CUT,2015-05-01,23.0,165 days 00:00:00.000000000,INT_CUT to INT_CUT,165
(PALS)SCRIVER CREEK INTEGRATED RESTORATION PROJECT,INT_CUT,2015-08-03,351.0,94 days 00:00:00.000000000,INT_CUT to INT_CUT,94
(PALS)SCRIVER CREEK INTEGRATED RESTORATION PROJECT,INT_CUT,2015-09-11,97.0,39 days 00:00:00.000000000,INT_CUT to INT_CUT,39
(PALS)SCRIVER CREEK INTEGRATED RESTORATION PROJECT,INT_CUT,2015-09-28,179.0,17 days 00:00:00.000000000,INT_CUT to INT_CUT,17
(PALS)SCRIVER CREEK INTEGRATED RESTORATION PROJECT,INT_CUT,2016-09-01,66.0,339 days 00:00:00.000000000,INT_CUT to INT_CUT,339
(PALS)SCRIVER CREEK INTEGRATED RESTORATION PROJECT,INT_CUT,2016-09-14,9.0,13 days 00:00:00.000000000,INT_CUT to INT_CUT,13
(PALS)SCRIVER CREEK INTEGRATED RESTORATION PROJECT,INT_CUT,2016-09-21,1203.0,7 days 00:00:00.000000000,INT_CUT to INT_CUT,7
(PALS)SCRIVER CREEK INTEGRATED RESTORATION PROJECT,INT_CUT,2019-12-10,121.0,1175 days 00:00:00.000000000,INT_CUT to INT_CUT,1175
CE without DM,INT_CUT,2014-08-28,93.0,0 days 00:00:00.000000000,INT_CUT initial,0
CE without DM,INT_CUT,2015-09-30,108.0,398 days 00:00:00.000000000,INT_CUT to INT_CUT,398
CE without DM,INT_CUT,2017-03-15,62.0,532 days 00:00:00.000000000,INT_CUT to INT_CUT,532
CE without DM,EA-RH-FH,2017-08-01,404.0,139 days 00:00:00.000000000,INT_CUT to EA-RH-FH,139
(PALS)DECISION_NOTICE-SUBLETT FUELS AND VEGETATION PROJECT-30_SEPTEMBER_2011,INT_CUT,2016-07-06,30.0,0 days 00:00:00.000000000,INT_CUT initial,0
(PALS)DECISION_NOTICE-SUBLETT FUELS AND VEGETATION PROJECT-30_SEPTEMBER_2011,INT_CUT,2016-07-22,20.0,16 days 00:00:00.000000000,INT_CUT to INT_CUT,16
(PALS)DECISION_NOTICE-SUBLETT FUELS AND VEGETATION PROJECT-30_SEPTEMBER_2011,INT_CUT,2016-10-21,15.0,91 days 00:00:00.000000000,INT_CUT to INT_CUT,91
(PALS)DECISION_NOTICE-SUBLETT FUELS AND VEGETATION PROJECT-30_SEPTEMBER_2011,INT_CUT,2016-11-17,11.0,27 days 00:00:00.000000000,INT_CUT to INT_CUT,27
(PALS)DECISION_NOTICE-SUBLETT FUELS AND VEGETATION PROJECT-30_SEPTEMBER_2011,INT_CUT,2018-06-18,15.0,578 days 00:00:00.000000000,INT_CUT to INT_CUT,578
(PALS)DECISION_NOTICE-SUBLETT FUELS AND VEGETATION PROJECT-30_SEPTEMBER_2011,INT_CUT,2018-10-13,18.0,117 days 00:00:00.000000000,INT_CUT to INT_CUT,117
(PALS)DECISION_NOTICE-SUBLETT FUELS AND VEGETATION PROJECT-30_SEPTEMBER_2011,INT_CUT,2018-11-26,103.0,44 days 00:00:00.000000000,INT_CUT to INT_CUT,44
(PALS)DECISION_NOTICE-SUBLETT FUELS AND VEGETATION PROJECT-30_SEPTEMBER_2011,INT_CUT,2019-10-30,27.0,338 days 00:00:00.000000000,INT_CUT to INT_CUT,338
(PALS)ROCK CREEK RESOURCE MANAGEMENT PROJECT,INT_CUT,2012-11-07,64.0,0 days 00:00:00.000000000,INT_CUT initial,0
(PALS)ROCK CREEK RESOURCE MANAGEMENT PROJECT,INT_CUT,2013-08-15,201.0,281 days 00:00:00.000000000,INT_CUT to INT_CUT,281
(PALS)TRINITY RIDGE FIRE ROADSIDE SALVAGE PROJECT DECISION MEMO,INT_CUT,2013-08-16,28.0,0 days 00:00:00.000000000,INT_CUT initial,0
(PALS)TRINITY RIDGE FIRE ROADSIDE SALVAGE PROJECT DECISION MEMO,INT_CUT,2013-09-04,9.0,19 days 00:00:00.000000000,INT_CUT to INT_CUT,19
(PALS)TRINITY RIDGE FIRE ROADSIDE SALVAGE PROJECT DECISION MEMO,INT_CUT,2013-09-16,9.0,12 days 00:00:00.000000000,INT_CUT to INT_CUT,12
(PALS)TRINITY RIDGE FIRE ROADSIDE SALVAGE PROJECT DECISION MEMO,INT_CUT,2013-09-23,13.0,7 days 00:00:00.000000000,INT_CUT to INT_CUT,7
(PALS)TRINITY RIDGE FIRE ROADSIDE SALVAGE PROJECT DECISION MEMO,INT_CUT,2015-11-01,104.0,769 days 00:00:00.000000000,INT_CUT to INT_CUT,769
(PALS)HALL FIRE TIMBER SALVAGE,EA-RH-FH,2003-12-30,24.0,0 days 00:00:00.000000000,EA-RH-FH initial,0
(PALS)HALL FIRE TIMBER SALVAGE,EA-RH-FH,2004-02-01,120.0,33 days 00:00:00.000000000,EA-RH-FH to EA-RH-FH,33
(PALS)HALL FIRE TIMBER SALVAGE,EA-RH-FH,2004-04-01,24.0,60 days 00:00:00.000000000,EA-RH-FH to EA-RH-FH,60
(PALS)HALL FIRE TIMBER SALVAGE,EA-RH-FH,2004-05-30,19.0,59 days 00:00:00.000000000,EA-RH-FH to EA-RH-FH,59
DEFAULT FOR NOT REQUIRED,EA-RH-FH,2000-04-02,25.0,0 days 00:00:00.000000000,EA-RH-FH initial,0
DEFAULT FOR NOT REQUIRED,EA-RH-FH,2000-05-05,106.0,33 days 00:00:00.000000000,EA-RH-FH to EA-RH-FH,33
DEFAULT FOR NOT REQUIRED,EA-RH-FH,2000-05-09,49.0,4 days 00:00:00.000000000,EA-RH-FH to EA-RH-FH,4
DEFAULT FOR NOT REQUIRED,EA-RH-FH,2000-08-01,27.0,84 days 00:00:00.000000000,EA-RH-FH to EA-RH-FH,84
DEFAULT FOR NOT REQUIRED,EA-RH-NFH,2000-08-01,63.0,0 days 00:00:00.000000000,EA-RH-NFH and EA-RH-FH same day,0
DEFAULT FOR NOT REQUIRED,INT_CUT,2000-08-01,64.0,0 days 00:00:00.000000000,INT_CUT and EA-RH-NFH same day,0
DEFAULT FOR NOT REQUIRED,EA-RH-FH,2000-09-01,46.0,31 days 00:00:00.000000000,INT_CUT to EA-RH-FH,31
DEFAULT FOR NOT REQUIRED,INT_CUT,2000-09-01,113.0,0 days 00:00:00.000000000,INT_CUT and EA-RH-FH same day,0
DEFAULT FOR NOT REQUIRED,INT_CUT,2000-09-15,54.0,14 days 00:00:00.000000000,INT_CUT to INT_CUT,14
DEFAULT FOR NOT REQUIRED,EA-RH-FH,2000-09-25,30.0,10 days 00:00:00.000000000,INT_CUT to EA-RH-FH,10
DEFAULT FOR NOT REQUIRED,EA-RH-NFH,2000-09-25,18.0,0 days 00:00:00.000000000,EA-RH-NFH and EA-RH-FH same day,0
