A2,A2-EA,EA,INT_CUT,INT_CUT-A2,INT_CUT-EA,INT_CUT-LAND_CLEAR,INT_CUT-UA,LAND_CLEAR,NO_ACT,UA,UA-EA-INT_CUT
0,12849.405139520686,635.2170175153316,204.30342900307036,32118.880068797727,1834.2058527296322,21413.177790424725,6433.466220668173,10782.1384168466,1.4746109724273464,16091.39577332409,64246.4746111495
12824.35427613067,0,514.3062945348863,247.60510172785675,32122.590542368045,1841.8319394031444,21372.737456409344,6446.3131248126065,10779.435939036815,1.2694714395619908,16102.067336855642,64246.269471616644
12701.96504195427,12849.277885746069,0,217.508363623932,32119.9527119787,1836.4783928662011,21201.35394873659,6437.338623412202,10681.56240541518,1.3473571978099566,16094.601566648344,64246.347357374885
12825.193661343175,12849.303583410396,603.5536149022261,0,32100.40034412711,1797.3479594986395,21402.555618813498,6372.104102690037,10694.074794464104,1.3730548621367333,16040.243748990568,64246.373055039214
12854.701584674773,12848.93052854826,642.6328681686081,254.87928625383793,0,1842.9203260373804,21415.333333327533,6448.306750162708,10803.654322442224,0.9999999999999997,16103.683779407467,64246.000000177075
12783.934314308139,12849.319052246687,615.1636275072245,212.4408669762637,31201.734098796962,0,21406.435935572692,6435.847190968332,10476.121640174799,1.3885236984273615,16093.365567361887,64246.38852387551
12854.701584674773,12848.93052854826,642.6328681686081,254.87928625383793,32122.99999996538,1842.9203260373804,0,6448.306750162708,10803.654322442224,0.9999999999999997,16103.683779407467,64246.000000177075
12839.17248063863,12849.481297376744,628.562168122555,174.57165844992915,32024.49351309706,1645.35658347202,21411.01027919784,0,10738.427195822045,1.5507688284837555,16084.01994907784,64246.55076900556
10668.123281221162,12850.316226484723,509.2385795207059,71.3019654378338,32107.73902621414,1811.0126805983987,21371.79236906922,6394.20354247342,0,2.3856979364640387,16058.828722655786,64247.38569811354
12853.70158467477,12847.93052854826,641.6328681686081,253.8792862538379,32121.999999965385,1841.9203260373802,21414.333333327533,6447.306750162708,10802.65432244222,0,16102.683779407464,64245.00000017707
12294.05304714557,12850.213480463442,590.4946693734415,82.29531292291801,32108.634928608433,1812.9072314082644,21398.809235005938,6397.4296245040505,8048.70097784261,2.2829519151843756,0,64247.28295209227
12854.701584674773,12848.93052854826,642.6328681686081,254.87928625383793,32122.99999996538,1842.9203260373804,21415.333333327533,6448.306750162708,10803.654322442224,0.9999999999999997,16103.683779407467,0
